Date,Open,Close,High,Low
2020-01-13,97.53,96.77,97.79,96.19
2020-01-10,98.74,97.49,98.75,97.47
2020-01-09,98.55,98.58,99.56,98.5
2020-01-08,97.31,98.27,98.4,96.53
2020-01-07,97.55,97.61,98.3,97.17
2020-01-06,97.72,97.34,97.72,95.54
2020-01-03,99.15,98.18,99.15,97.45
2020-01-02,97.0,99.33,99.53,97.0
2019-12-30,97.24,96.78,97.45,96.78
2019-12-27,97.49,97.22,98.1,97.08
2019-12-23,98.58,97.76,98.58,97.46
2019-12-20,98.52,98.75,98.9,98.18
2019-12-19,98.07,98.54,98.54,97.8
2019-12-18,97.62,98.04,98.16,97.31
2019-12-17,97.68,97.62,97.75,96.79
2019-12-16,96.5,97.83,97.99,96.5
2019-12-13,97.51,96.18,98.95,96.13
2019-12-12,93.56,96.12,96.54,93.51
2019-12-11,93.23,93.54,93.99,93.07
2019-12-10,93.68,93.47,93.68,92.35
2019-12-09,93.91,93.73,94.54,93.59
2019-12-06,92.94,93.9,94.13,92.74
2019-12-05,92.95,92.78,94.02,92.77
2019-12-04,90.98,92.88,92.89,90.96
2019-12-03,92.35,90.99,92.8,90.59
2019-12-02,93.26,92.15,94.56,91.98
2019-11-29,93.49,93.2,93.91,93.07
2019-11-28,94.16,93.66,94.22,93.43
2019-11-27,94.02,94.31,94.73,93.91
2019-11-26,94.62,93.98,94.83,93.78
2019-11-25,94.56,94.6,95.41,94.41
2019-11-22,93.67,94.22,95.22,93.67
2019-11-21,92.95,93.57,93.71,92.04
2019-11-20,92.92,93.2,93.28,91.85
2019-11-19,93.29,93.39,94.46,93.1
2019-11-18,93.64,93.2,94.42,92.4
2019-11-15,93.41,93.65,94.01,92.84
2019-11-14,93.38,93.06,93.69,92.72
2019-11-13,95.45,93.4,95.45,92.67
2019-11-12,95.62,95.68,96.32,95.26
2019-11-11,95.11,95.31,95.55,94.21
2019-11-08,96.7,95.37,96.7,95.05
2019-11-07,94.96,96.75,96.79,94.92
2019-11-06,94.41,94.52,96.01,94.25
2019-11-05,93.17,94.31,94.65,93.17
