"Date","sigma_hat","mu","w","a1","b1","lam_VSTOXX_1"
2016-04-15,55.549123260877,-1.40608920891803,0.407420086715339,0.072902249111145,0.86888322361492,0.00478023518633292
2016-04-22,59.0497107794737,-1.4752007066182,0.388923830020891,0.0709619793396138,0.874106577447966,0.00450172001049945
2016-04-29,60.3743016585199,-1.56472121530521,0.569478138318385,0.081151031354094,0.833110069623195,0.00677091917391093
2016-05-06,59.4815107915433,-1.57898639145075,0.383611981020184,0.0659194799750382,0.878163067667839,0.0047229848935614
2016-05-13,59.6219401064715,-1.52620509880569,0.350166165288974,0.0679932027075085,0.883730681987094,0.00395241801392277
2016-05-20,51.2406594203296,-1.45662954608271,0.380902672314244,0.0697375968776893,0.876057506849814,0.00444019258284294
2016-05-27,52.0161723306092,-1.52523153666989,0.355841503964633,0.0646207965687083,0.88465441982586,0.00408461755485828
2016-06-03,52.5265843889306,-1.53455725441439,0.57007596532746,0.0786981908979133,0.833345631689502,0.00712781313052272
2016-06-10,53.7857630351745,-1.54702393515073,0.550742585563401,0.0756623487229996,0.842398923072335,0.00605813864110415
2016-06-17,53.0521296603214,-1.69871040565406,0.369912382641487,0.0696130461691109,0.878055467707998,0.00436962211162138
2016-06-24,52.3525170381199,-1.62963244587981,0.377564281572228,0.068548778990553,0.877562617866256,0.0044627802080824
2016-07-01,60.4653306011947,-1.58543561126831,0.38263264880193,0.067996408680331,0.876921571723487,0.00458500989623033
2016-07-08,53.7095474405466,-1.57774278429379,0.370081796329485,0.0654154863927016,0.880933426843089,0.00457828347561794
2016-07-15,47.7420676185538,-1.55178553067582,0.377570743423018,0.0688690769443661,0.877299858942128,0.0044646949420321
2016-07-22,51.3467738228878,-1.59620915251598,0.397724797844772,0.0688373215474299,0.873467575112724,0.00479429563357533
2016-07-29,47.8908149090742,-1.62116359597518,0.369857384799558,0.0624217718318724,0.884591601675912,0.00419473423562407
2016-08-05,41.5034438025073,-1.59845539254482,0.393337726522894,0.0682089745636374,0.874710623122445,0.00475021608326011
2016-08-12,41.1588067118021,-1.64115477098754,0.385218475081408,0.0679630651626384,0.876592878567673,0.00458977859452324
2016-08-19,41.5719227118288,-1.59166926047466,0.372200133562668,0.0671944147775073,0.879608608875914,0.00443522694020104
2016-08-26,43.4145146463877,-1.5288996313755,0.357859634872554,0.0676488092117542,0.88218650184854,0.00414133762097713
2016-09-02,46.1267770247906,-1.50658393836068,0.362805905794896,0.0667270613003168,0.881973097715851,0.00424277231809508
2016-09-09,48.5480119953895,-1.58651337175032,0.347090081107085,0.0646789624568065,0.88630096434294,0.00409718717691133
2016-09-16,42.1348714844744,-1.56623288509186,0.337931912560458,0.0643437289265333,0.888280576128966,0.00394922140697481
2016-09-23,45.4768748009084,-1.55128599513571,0.343099277965209,0.0651763186103042,0.88677889430849,0.00398065571595111
2016-09-30,44.9136151960382,-1.51268089124245,0.281685197764482,0.0605208765174918,0.902195431073432,0.00304166202449252
2016-10-07,42.6698973285236,-1.50572786945759,0.330292665812675,0.0641451821666799,0.890565601935573,0.00357856360260244
2016-10-14,44.6867426057597,-1.38129301442142,0.319300432694276,0.0653489055977541,0.891016136738394,0.00352820201446043
2016-10-21,39.1052726789054,-1.31209730013937,0.252977904998965,0.0634083206135129,0.905342608318187,0.00248243726795817
