"Date","sigma_hat","mu","w","a1","b1","lam_VSTOXX_1","lam_Euribor6m_1"
2003-01-31,62.4477672960105,NA,NA,NA,NA,NA,NA
2003-02-07,59.6357302026935,NA,NA,NA,NA,NA,NA
2003-02-14,60.7215534266084,NA,NA,NA,NA,NA,NA
2003-02-21,63.4360452851905,NA,NA,NA,NA,NA,NA
2003-02-28,45.5599244469254,NA,NA,NA,NA,NA,NA
2003-03-07,47.0513038493601,NA,NA,NA,NA,NA,NA
2003-03-14,53.59116652515,NA,NA,NA,NA,NA,NA
2003-03-21,59.3576396650915,NA,NA,NA,NA,NA,NA
2003-03-28,67.2574962546622,NA,NA,NA,NA,NA,NA
2003-04-04,72.4803373322576,NA,NA,NA,NA,NA,NA
2003-04-11,76.0153452670837,NA,NA,NA,NA,NA,NA
2003-04-18,70.6906224027789,NA,NA,NA,NA,NA,NA
2003-04-25,68.808891885633,NA,NA,NA,NA,NA,NA
2003-05-02,54.5635731423035,NA,NA,NA,NA,NA,NA
2003-05-09,53.0358119127819,NA,NA,NA,NA,NA,NA
2003-05-16,44.4118092778684,NA,NA,NA,NA,NA,NA
2003-05-23,45.0301985608577,NA,NA,NA,NA,NA,NA
2003-05-30,47.921370040346,NA,NA,NA,NA,NA,NA
2003-06-06,49.517717379093,NA,NA,NA,NA,NA,NA
2003-06-13,51.5283628649964,NA,NA,NA,NA,NA,NA
2003-06-20,49.5454650485046,NA,NA,NA,NA,NA,NA
2003-06-27,48.9165835713124,NA,NA,NA,NA,NA,NA
2003-07-04,47.1325178907933,NA,NA,NA,NA,NA,NA
2003-07-11,44.3248365860991,NA,NA,NA,NA,NA,NA
2003-07-18,43.7838357538539,NA,NA,NA,NA,NA,NA
2003-07-25,38.66037608404,NA,NA,NA,NA,NA,NA
2003-08-01,35.6650740519125,NA,NA,NA,NA,NA,NA
2003-08-08,36.3436754023937,NA,NA,NA,NA,NA,NA
2003-08-15,36.6666313291394,NA,NA,NA,NA,NA,NA
2003-08-22,38.406253865731,NA,NA,NA,NA,NA,NA
2003-08-29,35.130762874488,NA,NA,NA,NA,NA,NA
2003-09-05,35.2337147959273,NA,NA,NA,NA,NA,NA
2003-09-12,36.413602487691,NA,NA,NA,NA,NA,NA
2003-09-19,36.3553354978185,NA,NA,NA,NA,NA,NA
2003-09-26,37.6224260730003,NA,NA,NA,NA,NA,NA
2003-10-03,41.2533127825783,NA,NA,NA,NA,NA,NA
